OBJECT_ID,S_INFO_WINDCODE,S_INFO_CODE,S_INFO_NAME,S_INFO_SCCODE,S_INFO_CALLPUT,S_INFO_STRIKEPRICE,S_INFO_MONTH,S_INFO_MATURITYDATE,S_INFO_FTDATE,S_INFO_LASTTRADINGDATE,S_INFO_EXERCISINGEND,S_INFO_LDDATE,S_INFO_LPRICE,S_INFO_TRADE,S_INFO_EXCODE,S_INFO_EXNAME,S_INFO_COUNIT,OPDATE,OPMODE
{2737C878-1E0A-4DAC-9275-28AD618041FB},10008793.SH,10008793,华夏上证50ETF期权2509认购2.40,510050OP.SH,708001000,2.4000,202509,20250924,20250123,20250924,20250924,20250925,0.3018,0,510050C2509M02400,50ETF购9月2400,10000.0000,2025-09-24,1
{838C858E-4D14-4F67-B051-7FC5EBEB9F11},10008794.SH,10008794,华夏上证50ETF期权2509认购2.45,510050OP.SH,708001000,2.4500,202509,20250924,20250123,20250924,20250924,20250925,0.2737,0,510050C2509M02450,50ETF购9月2450,10000.0000,2025-09-24,1
{30C8D067-DA55-4D04-A282-D83CF7BDCB91},10008795.SH,10008795,华夏上证50ETF期权2509认购2.50,510050OP.SH,708001000,2.5000,202509,20250924,20250123,20250924,20250924,20250925,0.2433,0,510050C2509M02500,50ETF购9月2500,10000.0000,2025-09-24,1
{F0B64D5B-9873-497F-AD53-69161C653BD8},10008796.SH,10008796,华夏上证50ETF期权2509认购2.55,510050OP.SH,708001000,2.5500,202509,20250924,20250123,20250924,20250924,20250925,0.2187,0,510050C2509M02550,50ETF购9月2550,10000.0000,2025-09-24,1
{42314F6C-D1FD-4A82-BE67-1570843FB826},10008797.SH,10008797,华夏上证50ETF期权2509认购2.60,510050OP.SH,708001000,2.6000,202509,20250924,20250123,20250924,20250924,20250925,0.1923,0,510050C2509M02600,50ETF购9月2600,10000.0000,2025-09-24,1
{029899B5-2778-4407-A40E-D8F9DB2FAE03},10008798.SH,10008798,华夏上证50ETF期权2509认购2.65,510050OP.SH,708001000,2.6500,202509,20250924,20250123,20250924,20250924,20250925,0.1743,0,510050C2509M02650,50ETF购9月2650,10000.0000,2025-09-24,1
{D67857BE-3A2B-4034-A8B5-9C8B7BAE7F5D},10008799.SH,10008799,华夏上证50ETF期权2509认购2.70,510050OP.SH,708001000,2.7000,202509,20250924,20250123,20250924,20250924,20250925,0.1548,0,510050C2509M02700,50ETF购9月2700,10000.0000,2025-09-24,1
{E6B75EA8-2D24-49F1-9F22-32D03C7657D8},10008800.SH,10008800,华夏上证50ETF期权2509认购2.75,510050OP.SH,708001000,2.7500,202509,20250924,20250123,20250924,20250924,20250925,0.1364,0,510050C2509M02750,50ETF购9月2750,10000.0000,2025-09-24,1
{11791116-A9F2-4D83-AE65-2623A8BA9730},10008801.SH,10008801,华夏上证50ETF期权2509认购2.80,510050OP.SH,708001000,2.8000,202509,20250924,20250123,20250924,20250924,20250925,0.1236,0,510050C2509M02800,50ETF购9月2800,10000.0000,2025-09-24,1
{3E7D9B90-267C-480B-9B40-6D165DDC6FAA},10008802.SH,10008802,华夏上证50ETF期权2509认沽2.40,510050OP.SH,708002000,2.4000,202509,20250924,20250123,20250924,20250924,20250925,0.0609,0,510050P2509M02400,50ETF沽9月2400,10000.0000,2025-09-24,1
